Genbank ID,Gene name,Gene category,Sub-category1,Sub-category2,Organism,Lineage,#D43G21,D43G18,D43G16,D43G14,D43G13,D43G12,#D40G6,D40G4,D40G2,D40G31,D40G30,D40G29
310789705,corA,Metal Homeostasis,Cobalt/Magnesium,Transport,Glomerella graminicola M1.001,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Sordariomycetes;order:Glomerellales;family:Glomerellaceae;genus:Colletotrichum;species:Colletotrichum graminicola;,1267,*,1235,539,1698,458,10152,2098,448,2981,2793,1846
310801087,NiCoT,Metal Homeostasis,Nickel,Transport,Glomerella graminicola M1.001,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Sordariomycetes;order:Glomerellales;family:Glomerellaceae;genus:Colletotrichum;species:Colletotrichum graminicola;,3940,281,1636,733,1479,1649,4561,14470,489,4774,2726,2411
310790282,silP,Metal Homeostasis,Silver,Transport,Glomerella graminicola M1.001,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Sordariomycetes;order:Glomerellales;family:Glomerellaceae;genus:Colletotrichum;species:Colletotrichum graminicola;,p,,,p,,p,240,,655,19337,1777,3712
302407892,Ca_vacuolar_exchanger,Metal Homeostasis,Calcium,Transport,Verticillium albo-atrum VaMs.102,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Sordariomycetes;order:Glomerellales;family:Plectosphaerellaceae;genus:Verticillium;species:Verticillium alfalfae;,1681,226,1727,1136,2281,10116,792,959,432,1072,7042,5382
302423408,Ca_vacuolar_exchanger,Metal Homeostasis,Calcium,Transport,Verticillium albo-atrum VaMs.102,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Sordariomycetes;order:Glomerellales;family:Plectosphaerellaceae;genus:Verticillium;species:Verticillium alfalfae;,,,,p,,p,2345,,,1050,7561,821
302412048,siderophore_transporter,Metal Homeostasis,iron,transport,Verticillium albo-atrum VaMs.102,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Sordariomycetes;order:Glomerellales;family:Plectosphaerellaceae;genus:Verticillium;species:Verticillium alfalfae;,1331,*,700,4420,*,513,,,p,p,,
302417272,siderophore_transporter,Metal Homeostasis,iron,transport,Verticillium albo-atrum VaMs.102,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Sordariomycetes;order:Glomerellales;family:Plectosphaerellaceae;genus:Verticillium;species:Verticillium alfalfae;,1125,,517,411,415,3065,1087,,328,15410,926,2010
302407365,siderophore_transporter,Metal Homeostasis,iron,transport,Verticillium albo-atrum VaMs.102,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Sordariomycetes;order:Glomerellales;family:Plectosphaerellaceae;genus:Verticillium;species:Verticillium alfalfae;,p,,,,*p,,482,577,,,8613,799
302415925,silP,Metal Homeostasis,Silver,Transport,Verticillium albo-atrum VaMs.102,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Sordariomycetes;order:Glomerellales;family:Plectosphaerellaceae;genus:Verticillium;species:Verticillium alfalfae;,919,278,906,,431,,p,p,,p,,
302407648,silP,Metal Homeostasis,Silver,Transport,Verticillium albo-atrum VaMs.102,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Sordariomycetes;order:Glomerellales;family:Plectosphaerellaceae;genus:Verticillium;species:Verticillium alfalfae;,1416,16880,1158,,571,905,596,948,472,2150,2068,1642
261354296,trk_fungi,Metal Homeostasis,Potassium,Transport,Verticillium albo-atrum VaMs.102,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Sordariomycetes;order:Glomerellales;family:Plectosphaerellaceae;genus:Verticillium;species:Verticillium alfalfae;,,p,,,p,p,565,,19407,542,1233,
302417944,zrt1,Metal Homeostasis,Zinc,Transport,Verticillium albo-atrum VaMs.102,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Sordariomycetes;order:Glomerellales;family:Plectosphaerellaceae;genus:Verticillium;species:Verticillium alfalfae;,432,,561,,486,544,,,,p,,
346975804,NiCoT,Metal Homeostasis,Nickel,Transport,Verticillium dahliae VdLs.17,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Sordariomycetes;order:Glomerellales;family:Plectosphaerellaceae;genus:Verticillium;species:Verticillium dahliae;,843,314,842,635,341,9212,1330,686,329,1025,924,1032
27525867,ferroxidase_high_affinity,Metal Homeostasis,iron,Transport,Claviceps purpurea,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Sordariomycetes;order:Hypocreales;family:Clavicipitaceae;genus:Claviceps;,1247,*,698,664,213,1193,282,1063,,705,3017,1628
322695787,NiCoT,Metal Homeostasis,Nickel,Transport,Metarhizium acridum CQMa 102,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Sordariomycetes;order:Hypocreales;family:Clavicipitaceae;genus:Metarhizium;species:Metarhizium acridum;,829,*,1005,30277,1311,7239,533,,,844,40002,1384
322692350,siderophore_transporter,Metal Homeostasis,iron,transport,Metarhizium acridum CQMa 102,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Sordariomycetes;order:Hypocreales;family:Clavicipitaceae;genus:Metarhizium;species:Metarhizium acridum;,,,554,1198,479,450,460,727,,1206,2988,
322693837,silP,Metal Homeostasis,Silver,Transport,Metarhizium acridum CQMa 102,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Sordariomycetes;order:Hypocreales;family:Clavicipitaceae;genus:Metarhizium;species:Metarhizium acridum;,1059,,467,4033,278,550,p,p,,p,,
322694486,silP,Metal Homeostasis,Silver,Transport,Metarhizium acridum CQMa 102,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Sordariomycetes;order:Hypocreales;family:Clavicipitaceae;genus:Metarhizium;species:Metarhizium acridum;,1254,,2595,551,15919,5234,738,2418,764,1349,2276,2079
322705897,NiCoT,Metal Homeostasis,Nickel,Transport,Metarhizium anisopliae ARSEF 23,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Sordariomycetes;order:Hypocreales;family:Clavicipitaceae;genus:Metarhizium;species:Metarhizium anisopliae;,1262,,2388,577,555,558,4356,1322,,1609,904,
322702436,siderophore_transporter,Metal Homeostasis,iron,transport,Metarhizium anisopliae ARSEF 23,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Sordariomycetes;order:Hypocreales;family:Clavicipitaceae;genus:Metarhizium;species:Metarhizium anisopliae;,24596,9230,6038,8247,2678,10071,12232,6457,4803,3274,5017,9571
322707833,siderophore_transporter,Metal Homeostasis,iron,transport,Metarhizium anisopliae ARSEF 23,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Sordariomycetes;order:Hypocreales;family:Clavicipitaceae;genus:Metarhizium;species:Metarhizium anisopliae;,3172,438,2920,,2548,1304,1455,2528,1856,3984,2305,793
322706290,siderophore_transporter,Metal Homeostasis,iron,transport,Metarhizium anisopliae ARSEF 23,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Sordariomycetes;order:Hypocreales;family:Clavicipitaceae;genus:Metarhizium;species:Metarhizium anisopliae;,2283,2029,1837,1458,1079,2603,3232,2007,,3186,11651,1946
322707837,siderophore_transporter,Metal Homeostasis,iron,transport,Metarhizium anisopliae ARSEF 23,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Sordariomycetes;order:Hypocreales;family:Clavicipitaceae;genus:Metarhizium;species:Metarhizium anisopliae;,p,*p,,p,,p,590,,,488,13504,862
346327052,Ca_vacuolar_exchanger,Metal Homeostasis,Calcium,Transport,Cordyceps militaris CM01,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Sordariomycetes;order:Hypocreales;family:Cordycipitaceae;genus:Cordyceps;species:Cordyceps militaris;,20754,281,3292,3539,1965,5896,2502,8559,1247,3819,27075,5481
358396736,siderophore_transporter,Metal Homeostasis,iron,transport,Trichoderma atroviride IMI 206040,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Sordariomycetes;order:Hypocreales;family:Hypocreaceae;genus:Trichoderma;species:Trichoderma atroviride;,2916,267,1483,382,235,1311,1167,45093,374,658,,1334
